"DMA_ID","DB_ID","DMA_NUMBER","DESCRIPTION","DMA_ABBREV","DMA_SHORT_NAME","PSEUDO_DMA_TYPE","ACTUAL_DMA_ID","SERVED_STATUS","CAMC_MARKET_ID","MPG_MARKET_ID","ACCOUNTS","A3_ONLY_FLAG","MPEG4_ONLY_FLAG","LILN_PSEUDO_TABLE_FLAG","INACTIVE_FLAG","SENT_TO_CAMC_FLAG","NOTES","LAST_MOD_DATE","IS_DELETED","BILLING_SYSTEM"
266,0,811,"Reno NV","RE","Reno","",,0,88,157,38962,0,0,0,0,1,"",03/30/2017 09:52:14.306000000 PM,0,0
267,0,813,"Medford-Klamath Falls OR","MF","Medford/KF, OR","",,0,99,120,14846,0,0,0,0,1,"",08/17/2012 11:52:54.801000000 PM,0,0
268,0,819,"Seattle-Tacoma WA","SE","Seattle","",,0,18,172,111747,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
269,0,820,"Portland OR","PO","Portland, OR","",,0,38,150,72204,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
270,0,821,"Bend OR","","","",,0,116,18,5009,0,1,0,0,1,"",12/13/2012 10:50:28.260000000 PM,0,0
271,0,825,"San Diego CA","SD","San Diego","",,0,40,168,141681,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
272,0,828,"Monterey-Salinas CA","MR","Montery-Salinas","",,0,84,130,32332,0,0,0,0,1,"",09/25/2012 09:16:24.143000000 PM,0,0
273,0,839,"Las Vegas NV","LV","Las Vegas","",,0,43,108,108485,0,0,0,0,1,"",10/30/2014 07:17:17.369000000 PM,0,0
274,0,855,"Santa Barbara-San Luis Obispo CA","SB","Santa Barbara","",,0,90,170,25519,0,0,0,0,1,"",10/09/2013 09:08:51.933000000 PM,0,0
275,0,862,"Sacramento-Stockton-Modesto CA","SA","Sacramento","",,0,16,163,208183,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
