"COUNTY_ID","DB_ID","STATE_ID","NAME","SIZE_CODE","ACCOUNTS","USPS_STATE_CODE"
441,0,11,"CHATTAHOOCHEE",8,203,"053"
442,0,11,"CHATTOOGA",9,562,"055"
443,0,11,"CHEROKEE",6,12938,"057"
444,0,11,"CLARKE",8,1458,"059"
445,0,11,"CLAY",9,193,"061"
446,0,11,"CLAYTON",6,19048,"063"
447,0,11,"CLINCH",9,382,"065"
448,0,11,"COBB",6,35170,"067"
449,0,11,"COFFEE",9,1319,"069"
450,0,11,"COLQUITT",9,691,"071"
451,0,11,"COLUMBIA",7,5040,"073"
452,0,11,"COOK",9,1278,"075"
453,0,11,"COWETA",6,4577,"077"
454,0,11,"CRAWFORD",9,1269,"079"
455,0,11,"CRISP",9,79,"081"
456,0,11,"DADE",7,498,"083"
457,0,11,"DAWSON",9,2459,"085"
458,0,11,"DECATUR",9,1615,"087"
459,0,11,"DEKALB",6,21122,"089"
460,0,11,"DODGE",9,139,"091"
461,0,11,"DOOLY",9,1565,"093"
462,0,11,"DOUGHERTY",8,2902,"095"
463,0,11,"DOUGLAS",6,10468,"097"
464,0,11,"EARLY",9,982,"099"
465,0,11,"ECHOLS",9,126,"101"
466,0,11,"EFFINGHAM",8,2999,"103"
467,0,11,"ELBERT",9,650,"105"
468,0,11,"EMANUEL",9,2414,"107"
469,0,11,"EVANS",9,823,"109"
470,0,11,"FANNIN",9,3237,"111"
471,0,11,"FAYETTE",6,7221,"113"
472,0,11,"FLOYD",8,6356,"115"
473,0,11,"FORSYTH",6,16749,"117"
474,0,11,"FRANKLIN",9,1184,"119"
475,0,11,"FULTON",6,20818,"121"
476,0,11,"GILMER",9,32,"123"
477,0,11,"GLASCOCK",9,101,"125"
478,0,11,"GLYNN",8,3860,"127"
479,0,11,"GORDON",9,2999,"129"
480,0,11,"GRADY",9,1085,"131"
481,0,11,"GREENE",9,173,"133"
482,0,11,"GWINNETT",6,34927,"135"
483,0,11,"HABERSHAM",9,1443,"137"
484,0,11,"HALL",8,8547,"139"
485,0,11,"HANCOCK",9,595,"141"
